Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	GeneCards Link
LGMN	Legumain	Protein Coding	Q99538	55	GC14M092703	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGMN
MNX1	Motor Neuron And Pancreas Homeobox 1	Protein Coding	P50219	55	GC07M156994	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MNX1
MYL9	Myosin Light Chain 9	Protein Coding	P24844	55	GC20P036541	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYL9
NCK1	NCK Adaptor Protein 1	Protein Coding	P16333	55	GC03P136862	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCK1
NCOR2	Nuclear Receptor Corepressor 2	Protein Coding	Q9Y618	55	GC12M124324	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOR2
P2RY11	Purinergic Receptor P2Y11	Protein Coding	Q96G91	55	GC19P132274	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RY11
PDCD1LG2	Programmed Cell Death 1 Ligand 2	Protein Coding	Q9BQ51	55	GC09P005510	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD1LG2
PICK1	Protein Interacting With PRKCA 1	Protein Coding	Q9NRD5	55	GC22P038056	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PICK1
POMT2	Protein O-Mannosyltransferase 2	Protein Coding	Q9UKY4	55	GC14M077274	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMT2
PPM1B	Protein Phosphatase, Mg2+/Mn2+ Dependent 1B	Protein Coding	O75688	55	GC02P044167	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPM1B
PSMC1	Proteasome 26S Subunit, ATPase 1	Protein Coding	P62191	55	GC14P090256	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC1
RAMP2	Receptor Activity Modifying Protein 2	Protein Coding	O60895	55	GC17P042758	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAMP2
SEMA3C	Semaphorin 3C	Protein Coding	Q99985	55	GC07M080742	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA3C
SOX6	SRY-Box Transcription Factor 6	Protein Coding	P35712	55	GC11M015949	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX6
TECR	Trans-2,3-Enoyl-CoA Reductase	Protein Coding	Q9NZ01	55	GC19P014517	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TECR
TERF1	Telomeric Repeat Binding Factor 1	Protein Coding	P54274	55	GC08P073008	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERF1
TFDP1	Transcription Factor Dp-1	Protein Coding	Q14186	55	GC13P113584	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFDP1
AFF2	ALF Transcription Elongation Factor 2	Protein Coding	P51816	54	GC0XP148500	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFF2
ANXA7	Annexin A7	Protein Coding	P20073	54	GC10M073375	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA7
BMAL1	Basic Helix-Loop-Helix ARNT Like 1	Protein Coding	O00327	54	GC11P014689	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMAL1
BMP5	Bone Morphogenetic Protein 5	Protein Coding	P22003	54	GC06M055753	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP5
CDH4	Cadherin 4	Protein Coding	P55283	54	GC20P061252	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH4
CYFIP2	Cytoplasmic FMR1 Interacting Protein 2	Protein Coding	Q96F07	54	GC05P157267	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYFIP2
GPX2	Glutathione Peroxidase 2	Protein Coding	P18283	54	GC14M064939	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX2
IFITM3	Interferon Induced Transmembrane Protein 3	Protein Coding	Q01628	54	GC11M000319	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFITM3
KDM4C	Lysine Demethylase 4C	Protein Coding	Q9H3R0	54	GC09P006720	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM4C
MAP1LC3B	Microtubule Associated Protein 1 Light Chain 3 Beta	Protein Coding	Q9GZQ8	54	GC16P106811	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP1LC3B
MIB1	MIB E3 Ubiquitin Protein Ligase 1	Protein Coding	Q86YT6	54	GC18P021704	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIB1
NUDT1	Nudix Hydrolase 1	Protein Coding	P36639	54	GC07P002242	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDT1
P4HA1	Prolyl 4-Hydroxylase Subunit Alpha 1	Protein Coding	P13674	54	GC10M073007	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=P4HA1
PIGR	Polymeric Immunoglobulin Receptor	Protein Coding	P01833	54	GC01M206928	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIGR
PLSCR1	Phospholipid Scramblase 1	Protein Coding	O15162	54	GC03M146515	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLSCR1
PNPLA3	Patatin Like Phospholipase Domain Containing 3	Protein Coding	Q9NST1	54	GC22P043923	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA3
PORCN	Porcupine O-Acyltransferase	Protein Coding	Q9H237	54	GC0XP059275	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PORCN
PPP3CC	Protein Phosphatase 3 Catalytic Subunit Gamma	Protein Coding	P48454	54	GC08P022440	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP3CC
PRSS3	Serine Protease 3	Protein Coding	P35030	54	GC09P033750	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRSS3
PTGES	Prostaglandin E Synthase	Protein Coding	O14684	54	GC09M129738	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGES
PTP4A1	Protein Tyrosine Phosphatase 4A1	Protein Coding	Q93096	54	GC06P156711	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTP4A1
PUM1	Pumilio RNA Binding Family Member 1	Protein Coding	Q14671	54	GC01M030931	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUM1
RYR3	Ryanodine Receptor 3	Protein Coding	Q15413	54	GC15P033310	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR3
SETD1A	SET Domain Containing 1A, Histone Lysine Methyltransferase	Protein Coding	O15047	54	GC16P104992	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETD1A
SH2B1	SH2B Adaptor Protein 1	Protein Coding	Q9NRF2	54	GC16P104819	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2B1
SPINT2	Serine Peptidase Inhibitor, Kunitz Type 2	Protein Coding	O43291	54	GC19P038244	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINT2
SUV39H1	SUV39H1 Histone Lysine Methyltransferase	Protein Coding	O43463	54	GC0XP059283	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUV39H1
TNFRSF6B	TNF Receptor Superfamily Member 6b	Protein Coding	O95407	54	GC20P063696	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF6B
TNNC1	Troponin C1, Slow Skeletal And Cardiac Type	Protein Coding	P63316	54	GC03M054394	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNC1
TRIM63	Tripartite Motif Containing 63	Protein Coding	Q969Q1	54	GC01M032187	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM63
CD164	CD164 Molecule	Protein Coding	Q04900	53	GC06M109366	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD164
CLASP1	Cytoplasmic Linker Associated Protein 1	Protein Coding	Q7Z460	53	GC02M121337	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLASP1
GDF9	Growth Differentiation Factor 9	Protein Coding	O60383	53	GC05M132861	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF9
GJA3	Gap Junction Protein Alpha 3	Protein Coding	Q9Y6H8	53	GC13M023632	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJA3
KIFAP3	Kinesin Associated Protein 3	Protein Coding	Q92845	53	GC01M169921	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIFAP3
MANF	Mesencephalic Astrocyte Derived Neurotrophic Factor	Protein Coding	P55145	53	GC03P051385	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MANF
MTHFD2	Methylenetetrahydrofolate Dehydrogenase (NADP+ Dependent) 2, Methenyltetrahydrofolate Cyclohydrolase	Protein Coding	P13995	53	GC02P074186	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFD2
NCAPH	Non-SMC Condensin I Complex Subunit H	Protein Coding	Q15003	53	GC02P098432	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAPH
PTMA	Prothymosin Alpha	Protein Coding	P06454	53	GC02P233767	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTMA
RGS6	Regulator Of G Protein Signaling 6	Protein Coding	P49758	53	GC14P071867	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS6
SNW1	SNW Domain Containing 1	Protein Coding	Q13573	53	GC14M077717	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNW1
ANKS1B	Ankyrin Repeat And Sterile Alpha Motif Domain Containing 1B	Protein Coding	Q7Z6G8	52	GC12M098726	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKS1B
ATG3	Autophagy Related 3	Protein Coding	Q9NT62	52	GC03M112532	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG3
EIF6	Eukaryotic Translation Initiation Factor 6	Protein Coding	P56537	52	GC20M035278	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF6
EXOC5	Exocyst Complex Component 5	Protein Coding	O00471	52	GC14M057200	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOC5
HNRNPL	Heterogeneous Nuclear Ribonucleoprotein L	Protein Coding	P14866	52	GC19M038836	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPL
KIF20A	Kinesin Family Member 20A	Protein Coding	O95235	52	GC05P138319	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF20A
KPNA4	Karyopherin Subunit Alpha 4	Protein Coding	O00629	52	GC03M160494	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KPNA4
KRT20	Keratin 20	Protein Coding	P35900	52	GC17M040875	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT20
KRT6B	Keratin 6B	Protein Coding	P04259	52	GC12M052446	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT6B
LMOD1	Leiomodin 1	Protein Coding	P29536	52	GC01M201896	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMOD1
NDUFA2	NADH:Ubiquinone Oxidoreductase Subunit A2	Protein Coding	O43678	52	GC05M140815	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA2
NFYA	Nuclear Transcription Factor Y Subunit Alpha	Protein Coding	P23511	52	GC06P156477	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFYA
OS9	OS9 Endoplasmic Reticulum Lectin	Protein Coding	Q13438	52	GC12P057693	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=OS9
PHLPP1	PH Domain And Leucine Rich Repeat Protein Phosphatase 1	Protein Coding	O60346	52	GC18P062715	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHLPP1
RGS5	Regulator Of G Protein Signaling 5	Protein Coding	O15539	52	GC01M163111	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS5
RPL23	Ribosomal Protein L23	Protein Coding	P62829	52	GC17M038847	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL23
RPL34	Ribosomal Protein L34	Protein Coding	P49207	52	GC04P108620	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL34
RPL6	Ribosomal Protein L6	Protein Coding	Q02878	52	GC12M112320	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL6
SMG1	SMG1 Nonsense Mediated MRNA Decay Associated PI3K Related Kinase	Protein Coding	Q96Q15	52	GC16M027630	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMG1
STK33	Serine/Threonine Kinase 33	Protein Coding	Q9BYT3	52	GC11M013592	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK33
SYNE1	Spectrin Repeat Containing Nuclear Envelope Protein 1	Protein Coding	Q8NF91	52	GC06M152121	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNE1
TMEM126A	Transmembrane Protein 126A	Protein Coding	Q9H061	52	GC11P085647	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM126A
TNFAIP6	TNF Alpha Induced Protein 6	Protein Coding	P98066	52	GC02P151357	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP6
TNRC6A	Trinucleotide Repeat Containing Adaptor 6A	Protein Coding	Q8NDV7	52	GC16P104659	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNRC6A
TNS1	Tensin 1	Protein Coding	Q9HBL0	52	GC02M217799	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNS1
TPD52	Tumor Protein D52	Protein Coding	P55327	52	GC08M080031	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPD52
TPM4	Tropomyosin 4	Protein Coding	P67936	52	GC19P132573	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPM4
TSPAN12	Tetraspanin 12	Protein Coding	O95859	52	GC07M120787	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN12
TSPAN5	Tetraspanin 5	Protein Coding	P62079	52	GC04M098470	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN5
TUBGCP6	Tubulin Gamma Complex Component 6	Protein Coding	Q96RT7	52	GC22M050217	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBGCP6
ADAMTS12	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 12	Protein Coding	P58397	51	GC05M033524	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS12
AKAP12	A-Kinase Anchoring Protein 12	Protein Coding	Q02952	51	GC06P151239	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP12
ATG4A	Autophagy Related 4A Cysteine Peptidase	Protein Coding	Q8WYN0	51	GC0XP108091	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG4A
CHD5	Chromodomain Helicase DNA Binding Protein 5	Protein Coding	Q8TDI0	51	GC01M019629	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD5
CLCA1	Chloride Channel Accessory 1	Protein Coding	A8K7I4	51	GC01P086468	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCA1
CSRP2	Cysteine And Glycine Rich Protein 2	Protein Coding	Q16527	51	GC12M076859	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSRP2
EFL1	Elongation Factor Like GTPase 1	Protein Coding	Q7Z2Z2	51	GC15M155758	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFL1
FGL2	Fibrinogen Like 2	Protein Coding	Q14314	51	GC07M077193	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGL2
FSCN2	Fascin Actin-Bundling Protein 2, Retinal	Protein Coding	O14926	51	GC17P081515	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSCN2
FUT1	Fucosyltransferase 1 (H Blood Group)	Protein Coding	P19526	51	GC19M048748	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUT1
GEMIN2	Gem Nuclear Organelle Associated Protein 2	Protein Coding	O14893	51	GC14P039114	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GEMIN2
GINS1	GINS Complex Subunit 1	Protein Coding	Q14691	51	GC20P026429	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GINS1
GIT2	GIT ArfGAP 2	Protein Coding	Q14161	51	GC12M109929	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIT2
HPSE2	Heparanase 2 (Inactive)	Protein Coding	Q8WWQ2	51	GC10M098457	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPSE2
IL34	Interleukin 34	Protein Coding	Q6ZMJ4	51	GC16P106078	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL34
KCNIP3	Potassium Voltage-Gated Channel Interacting Protein 3	Protein Coding	Q9Y2W7	51	GC02P098370	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNIP3
KRT3	Keratin 3	Protein Coding	P12035	51	GC12M052789	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT3
MBOAT7	Membrane Bound O-Acyltransferase Domain Containing 7	Protein Coding	Q96N66	51	GC19M054173	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBOAT7
MYSM1	Myb Like, SWIRM And MPN Domains 1	Protein Coding	Q5VVJ2	51	GC01M058730	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYSM1
NACC1	Nucleus Accumbens Associated 1	Protein Coding	Q96RE7	51	GC19P132453	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NACC1
NCAM2	Neural Cell Adhesion Molecule 2	Protein Coding	O15394	51	GC21P020998	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAM2
NEUROG3	Neurogenin 3	Protein Coding	Q9Y4Z2	51	GC10M069571	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEUROG3
NOP2	NOP2 Nucleolar Protein	Protein Coding	P46087	51	GC12M006556	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOP2
PELI1	Pellino E3 Ubiquitin Protein Ligase 1	Protein Coding	Q96FA3	51	GC02M064092	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PELI1
PPP2CB	Protein Phosphatase 2 Catalytic Subunit Beta	Protein Coding	P62714	51	GC08M030951	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2CB
RPL9	Ribosomal Protein L9	Protein Coding	P32969	51	GC04M039452	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL9
RPLP2	Ribosomal Protein Lateral Stalk Subunit P2	Protein Coding	P05387	51	GC11P014061	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP2
S100A7	S100 Calcium Binding Protein A7	Protein Coding	P31151	51	GC01M153457	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A7
TAF4B	TATA-Box Binding Protein Associated Factor 4b	Protein Coding	Q92750	51	GC18P026226	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAF4B
TRAPPC9	Trafficking Protein Particle Complex Subunit 9	Protein Coding	Q96Q05	51	GC08M139728	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC9
VIL1	Villin 1	Protein Coding	P09327	51	GC02P218419	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIL1
YBX3	Y-Box Binding Protein 3	Protein Coding	P16989	51	GC12M033122	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=YBX3
AK4	Adenylate Kinase 4	Protein Coding	P27144	50	GC01P065147	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AK4
BFSP1	Beaded Filament Structural Protein 1	Protein Coding	Q12934	50	GC20M017493	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BFSP1
BRAP	BRCA1 Associated Protein	Protein Coding	Q7Z569	50	GC12M111642	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAP
BRF2	BRF2 RNA Polymerase III Transcription Initiation Factor Subunit	Protein Coding	Q9HAW0	50	GC08M037843	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRF2
CHMP3	Charged Multivesicular Body Protein 3	Protein Coding	Q9Y3E7	50	GC02M086505	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP3
CKAP2	Cytoskeleton Associated Protein 2	Protein Coding	Q8WWK9	50	GC13P052455	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKAP2
EEFSEC	Eukaryotic Elongation Factor, Selenocysteine-TRNA Specific	Protein Coding	P57772	50	GC03P128153	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEFSEC
FMN1	Formin 1	Protein Coding	Q68DA7	50	GC15M032765	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FMN1
FUZ	Fuzzy Planar Cell Polarity Protein	Protein Coding	Q9BT04	50	GC19M049806	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUZ
IFIT1	Interferon Induced Protein With Tetratricopeptide Repeats 1	Protein Coding	P09914	50	GC10P116138	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFIT1
KLK14	Kallikrein Related Peptidase 14	Protein Coding	Q9P0G3	50	GC19M051077	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK14
LHX2	LIM Homeobox 2	Protein Coding	P50458	50	GC09P124001	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LHX2
LRRFIP1	LRR Binding FLII Interacting Protein 1	Protein Coding	Q32MZ4	50	GC02P237627	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRFIP1
MPZL2	Myelin Protein Zero Like 2	Protein Coding	O60487	50	GC11M118253	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPZL2
NAGK	N-Acetylglucosamine Kinase	Protein Coding	Q9UJ70	50	GC02P071064	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAGK
PLAG1	PLAG1 Zinc Finger	Protein Coding	Q6DJT9	50	GC08M056710	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAG1
PPP6R2	Protein Phosphatase 6 Regulatory Subunit 2	Protein Coding	O75170	50	GC22P050330	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP6R2
RECQL5	RecQ Like Helicase 5	Protein Coding	O94762	50	GC17M075626	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RECQL5
RIOK2	RIO Kinase 2	Protein Coding	Q9BVS4	50	GC05M097160	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIOK2
RLIM	Ring Finger Protein, LIM Domain Interacting	Protein Coding	Q9NVW2	50	GC0XM074821	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RLIM
RPL27A	Ribosomal Protein L27a	Protein Coding	P46776	50	GC11P008682	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL27A
SLC7A14	Solute Carrier Family 7 Member 14	Protein Coding	Q8TBB6	50	GC03M170459	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A14
SMYD3	SET And MYND Domain Containing 3	Protein Coding	Q9H7B4	50	GC01M245749	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMYD3
SOCS6	Suppressor Of Cytokine Signaling 6	Protein Coding	O14544	50	GC18P070288	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS6
SULF2	Sulfatase 2	Protein Coding	Q8IWU5	50	GC20M047656	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULF2
TRIB2	Tribbles Pseudokinase 2	Protein Coding	Q92519	50	GC02P012742	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIB2
USP36	Ubiquitin Specific Peptidase 36	Protein Coding	Q9P275	50	GC17M078787	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP36
ASXL2	ASXL Transcriptional Regulator 2	Protein Coding	Q76L83	49	GC02M025733	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASXL2
CCL22	C-C Motif Chemokine Ligand 22	Protein Coding	O00626	49	GC16P105604	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL22
CERS4	Ceramide Synthase 4	Protein Coding	Q9HA82	49	GC19P008206	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERS4
HES6	Hes Family BHLH Transcription Factor 6	Protein Coding	Q96HZ4	49	GC02M238238	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HES6
IPO11	Importin 11	Protein Coding	Q9UI26	49	GC05P062403	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IPO11
MICAL2	Microtubule Associated Monooxygenase, Calponin And LIM Domain Containing 2	Protein Coding	O94851	49	GC11P014670	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICAL2
NUAK2	NUAK Family Kinase 2	Protein Coding	Q9H093	49	GC01M205302	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUAK2
PARP6	Poly(ADP-Ribose) Polymerase Family Member 6	Protein Coding	Q2NL67	49	GC15M072241	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP6
RIOX2	Ribosomal Oxygenase 2	Protein Coding	Q8IUF8	49	GC03M097942	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIOX2
SSH1	Slingshot Protein Phosphatase 1	Protein Coding	Q8WYL5	49	GC12M108938	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSH1
ZC3HAV1	Zinc Finger CCCH-Type Containing, Antiviral 1	Protein Coding	Q7Z2W4	49	GC07M139127	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZC3HAV1
ABHD2	Abhydrolase Domain Containing 2, Acylglycerol Lipase	Protein Coding	P08910	48	GC15P176224	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD2
ADAMTS15	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 15	Protein Coding	Q8TE58	48	GC11P130448	0.188486993312836	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS15
